Date,Open,High,Low,Close,Adj Close,Volume,3_days_before_change
2021-05-04,15.6,15.6,14.68,15.44,15.44,1125400,0.9363250454821104
2021-05-03,16.27,16.469999,15.78,15.87,15.87,889300,0.9242865463016888
2021-04-30,16.25,16.66,16.110001,16.200001,16.200001,636700,0.9625669043374927
2021-04-29,17.26,17.329,16.15,16.49,16.49,895500,0.9660222612770942
2021-04-28,16.629999,17.195,16.5,17.17,17.17,670900,1.0362100181050091
2021-04-27,17.190001,17.290001,16.780001,16.83,16.83,479200,1.025594149908592
2021-04-26,16.719999,17.120001,16.6,17.07,17.07,574600,1.0453153704837723
2021-04-23,16.440001,16.780001,16.379999,16.57,16.57,633300,1.0414833438089253
2021-04-22,16.4,16.84,16.26,16.41,16.41,844200,0.9814593888432648
2021-04-21,15.94,16.34,15.75,16.33,16.33,734300,0.9422965954991345
2021-04-20,16.719999,16.719999,15.75,15.91,15.91,1135500,0.9055207740466704
2021-04-19,17.120001,17.32,16.68,16.719999,16.719999,795200,0.9581660768959269
2021-04-16,17.51,17.530001,17.15,17.33,17.33,687600,1.0005773672055427
2021-04-15,17.700001,17.950001,17.35,17.57,17.57,1175900,1.067436273841815
2021-04-14,17.209999,17.940001,17.08,17.450001,17.450001,1530900,1.0627284409257003
2021-04-13,16.98,17.4,16.82,17.32,17.32,2040600,1.0248520710059172
2021-04-12,16.17,16.610001,15.92,16.459999,16.459999,1946600,1.0951429807052562
2021-04-09,16.43,16.790001,16.030001,16.42,16.42,1988200,1.071102413568167
2021-04-08,15.69,16.954,15.5,16.9,16.9,2354300,1.1274182788525682
2021-04-07,15.35,15.6,14.97,15.03,15.03,744600,1.0026684456304202
2021-04-06,14.91,15.39,14.79,15.33,15.33,1127400,1.0358108108108108
2021-04-05,15.0,15.29,14.92,14.99,14.99,1091300,1.063875088715401
2021-04-01,14.85,15.45,14.83,14.99,14.99,1723500,1.0489853044086774
2021-03-31,14.31,14.88,14.26,14.8,14.8,1249100,1.0235131396957122
2021-03-30,14.13,14.39,13.83,14.09,14.09,1036600,0.9950564971751412
2021-03-29,14.37,14.45,13.85,14.29,14.29,1307800,1.0280575539568344
2021-03-26,14.17,14.54,13.95,14.46,14.46,833600,0.9743935309973046
2021-03-25,13.76,14.22,13.51,14.16,14.16,1148400,0.9516129032258064
2021-03-24,14.93,14.93,13.89,13.9,13.9,1157300,0.9205298013245033
2021-03-23,14.88,15.05,14.73,14.84,14.84,1003900,1.010211027910143
2021-03-22,15.04,15.2,14.84,14.88,14.88,1351900,1.0054054054054054
2021-03-19,14.8,15.13,14.49,15.1,15.1,2059400,1.0486111111111112
2021-03-18,14.59,14.96,14.25,14.69,14.69,1359300,1.0173130193905817
2021-03-17,14.25,14.93,14.075,14.8,14.8,1831800,1.042988019732206
2021-03-16,14.56,15.15,14.375,14.4,14.4,1600300,0.9467455621301775
2021-03-15,14.18,14.49,13.97,14.44,14.44,1162900,1.0062717770034844
2021-03-12,14.82,15.13,13.82,14.19,14.19,2587200,0.9867872044506257
2021-03-11,14.58,15.31,14.58,15.21,15.21,1769700,1.1514004542013625
2021-03-10,14.65,14.97,14.21,14.35,14.35,1559400,1.0512820512820513
2021-03-09,13.87,14.51,13.76,14.38,14.38,1246500,1.002090592334495
2021-03-08,13.59,14.03,13.11,13.21,13.21,1693900,0.8806666666666667
2021-03-05,14.33,14.35,12.785,13.65,13.65,2133200,0.892740353172008
2021-03-04,14.87,15.17,14.08,14.35,14.35,2054900,0.9258064516129032
2021-03-03,15.3,15.46,14.88,15.0,15.0,1172500,1.0046885465505693
2021-03-02,15.58,15.78,15.23,15.29,15.29,1057400,0.9763729246487867
2021-03-01,15.31,15.675,15.27,15.5,15.5,1545900,0.9292565947242206
2021-02-26,15.01,15.7,14.83,14.93,14.93,2327400,0.9284825870646767
2021-02-25,16.48,16.700001,15.621,15.66,15.66,1349900,0.9508197298615501
2021-02-24,16.299999,16.82,15.94,16.68,16.68,1614200,0.9910873440285206
2021-02-23,15.84,16.165001,14.72,16.08,16.08,1815400,0.97218857483745
2021-02-22,16.559999,16.85,16.379999,16.469999,16.469999,1266800,1.0
2021-02-19,16.68,17.0,16.58,16.83,16.83,1766900,1.0089928057553956
2021-02-18,16.280001,16.690001,16.059999,16.540001,16.540001,1281600,0.9845239276502338
2021-02-17,16.719999,16.719999,15.93,16.469999,16.469999,1277700,0.9951661628499193
2021-02-16,16.85,17.33,16.58,16.68,16.68,1434600,1.0245699616357518
2021-02-12,16.540001,16.870001,16.41,16.799999,16.799999,957200,1.0138804465902234
2021-02-11,16.42,16.59,16.110001,16.549999,16.549999,1014000,1.0073036518563603
2021-02-10,16.700001,16.75,16.02,16.280001,16.280001,909300,1.014330343571984
2021-02-09,16.48,16.968,16.280001,16.57,16.57,936700,1.0554140127388536
2021-02-08,16.299999,16.639999,16.120001,16.43,16.43,1639100,1.0888005301524188
2021-02-05,15.77,16.139999,15.63,16.049999,16.049999,1133400,1.0918366666666668
2021-02-04,15.15,15.88,15.15,15.7,15.7,1445300,1.1025280898876404
2021-02-03,14.92,15.16,14.6,15.09,15.09,1157200,1.0230508474576272
2021-02-02,14.41,14.79,14.3,14.7,14.7,1214300,0.9671052631578947
2021-02-01,14.79,14.96,14.06,14.24,14.24,1354800,0.9608636977058029
2021-01-29,15.07,15.21,14.41,14.75,14.75,1765500,1.0109664153529816
